ID;Test command;Coverage command;Node version;Pre-command;Post-command
1;node_modules/.bin/_mocha --reporter json ./test/unit/* --compilers coffee:coffee-script/register;node_modules/.bin/istanbul cover --report json node_modules/.bin/_mocha -- --reporter json test/unit/mocha-globals.coffee ./test/unit/* --compilers coffee:coffee-script/register;6;;
2;node_modules/.bin/_mocha --require babel/register --reporter json-cov ./test/unit/*;./node_modules/.bin/babel-node node_modules/.bin/istanbul cover --report json-summary node_modules/.bin/_mocha -- --require babel/register --reporter json-cov ./test/unit test/unit/**/*.spec.js;6;;
3;node_modules/.bin/_mocha --require babel-register --reporter json ./test/unit/*;./node_modules/.bin/babel-node node_modules/.bin/istanbul cover --report json-summary node_modules/.bin/_mocha -- --require babel-register --reporter json ./test/unit test/unit/**/*.spec.js;6;npm uninstall babel && npm install babel-cli;
4;node_modules/.bin/_mocha --require babel/register --reporter json ./test/unit/*;./node_modules/.bin/babel-node node_modules/.bin/istanbul cover --report json-summary node_modules/.bin/_mocha -- --require babel/register --reporter json ./test/unit test/unit/**/*.spec.js;6;;
5;node_modules/.bin/_mocha --require babel-register --reporter json ./test/unit/*;./node_modules/.bin/babel-node node_modules/.bin/istanbul cover --report json-summary node_modules/.bin/_mocha -- --require babel-register --reporter json ./test/unit test/unit/**/*.spec.js;6;npm uninstall babel && npm install babel-cli;
6;node_modules/.bin/_mocha --reporter json ./test/unit/* --compilers coffee:coffee-script/register;./node_modules/.bin/babel-node node_modules/.bin/istanbul cover --report json-summary node_modules/.bin/_mocha -- --reporter json ./test/unit/* --compilers coffee:coffee-script/register;6;npm uninstall babel && npm install --save-dev babel-cli;
7;node_modules/.bin/_mocha --require babel/register --reporter json ./test/unit/*;./node_modules/.bin/babel-node node_modules/.bin/istanbul cover --report json-summary node_modules/.bin/_mocha -- --require babel/register --reporter json ./test/unit test/unit/**/*.spec.js;6;;
8;node_modules/.bin/_mocha --require babel-register --reporter json ./test/unit/*;./node_modules/.bin/babel-node node_modules/.bin/istanbul cover --report json-summary node_modules/.bin/_mocha -- --require babel-register --reporter json ./test/unit test/unit/**/*.spec.js;6;npm uninstall babel && npm install --save-dev babel-cli;
9;node_modules/.bin/_mocha --reporter json test/unit/mocha-globals.coffee ./test/unit/* --compilers coffee:coffee-script;./node_modules/.bin/istanbul cover --report json node_modules/.bin/_mocha -- --reporter json test/unit/mocha-globals.coffee ./test/unit/* --compilers coffee:coffee-script;6;;
10;node_modules/.bin/_mocha --reporter json test/unit/mocha-globals.coffee ./test/unit/* --compilers coffee:coffee-script;./node_modules/.bin/istanbul cover --report json node_modules/.bin/_mocha -- --reporter json test/unit/mocha-globals.coffee ./test/unit/* --compilers coffee:coffee-script;6;;
11;node_modules/.bin/_mocha --reporter json test/unit/mocha-globals.coffee ./test/unit/* --compilers coffee:coffee-script/register;node_modules/.bin/istanbul cover --report json-summary node_modules/.bin/_mocha -- --reporter json test/unit/mocha-globals.coffee ./test/unit/* --compilers coffee:coffee-script/register;6;;
12;node_modules/.bin/_mocha --reporter json test/unit/mocha-globals.coffee ./test/unit/* --compilers coffee:coffee-script;node_modules/.bin/istanbul cover --report json node_modules/.bin/_mocha -- --reporter json test/unit/mocha-globals.coffee ./test/unit/* --compilers coffee:coffee-script;6;;
13;node_modules/.bin/_mocha --reporter json test/unit/mocha-globals.coffee ./test/unit/* --compilers coffee:coffee-script;node_modules/.bin/istanbul cover --report json node_modules/.bin/_mocha -- --reporter json test/unit/mocha-globals.coffee ./test/unit/* --compilers coffee:coffee-script;6;;
14;node_modules/.bin/_mocha --require babel-register --reporter json ./test/unit/*;./node_modules/.bin/babel-node node_modules/.bin/istanbul cover --report json-summary node_modules/.bin/_mocha -- --require babel-register --reporter json ./test/unit test/unit/**/*.spec.js;6;npm uninstall babel && npm install --save-dev babel-cli;
15;node_modules/.bin/_mocha --require babel/register --reporter json ./test/unit/*;./node_modules/.bin/babel-node node_modules/.bin/istanbul cover --report json-summary node_modules/.bin/_mocha -- --require babel/register --reporter json ./test/unit test/unit/**/*.spec.js;6;;
16;node_modules/.bin/_mocha --require babel-register --reporter json ./test/unit/*;./node_modules/.bin/babel-node node_modules/.bin/istanbul cover --report json-summary node_modules/.bin/_mocha -- --require babel-register --reporter json ./test/unit test/unit/**/*.spec.js;6;npm uninstall babel && npm install --save-dev babel-cli;
17;node_modules/.bin/_mocha --require babel/register --reporter json ./test/unit/*;./node_modules/.bin/babel-node node_modules/.bin/istanbul cover --report json-summary node_modules/.bin/_mocha -- --require babel/register --reporter json ./test/unit test/unit/**/*.spec.js;6;;
18;node_modules/.bin/_mocha --require babel-register --reporter json ./test/unit/*;./node_modules/.bin/babel-node node_modules/.bin/istanbul cover --report json-summary node_modules/.bin/_mocha -- --require babel-register --reporter json ./test/unit test/unit/**/*.spec.js;6;npm uninstall babel && npm install --save-dev babel-cli;
19;node_modules/.bin/_mocha --reporter json test/unit/mocha-globals.coffee ./test/unit/* --compilers coffee:coffee-script;node_modules/.bin/istanbul cover --report json node_modules/.bin/_mocha -- --reporter json test/unit/mocha-globals.coffee ./test/unit/* --compilers coffee:coffee-script;6;;
20;node_modules/.bin/_mocha --require babel/register --reporter json ./test/unit/*;./node_modules/.bin/babel-node node_modules/.bin/istanbul cover --report json-summary node_modules/.bin/_mocha -- --require babel/register --reporter json ./test/unit test/unit/**/*.spec.js;6;;
21;node_modules/.bin/_mocha --reporter json ./test/unit/* --compilers coffee:coffee-script/register;node_modules/.bin/istanbul cover --report json node_modules/.bin/_mocha -- --reporter json test/unit/mocha-globals.coffee ./test/unit/* --compilers coffee:coffee-script/register;6;;
22;node_modules/.bin/_mocha --require babel-register --reporter json ./test/unit/*;./node_modules/.bin/babel-node node_modules/.bin/istanbul cover --report json-summary node_modules/.bin/_mocha -- --require babel-register --reporter json ./test/unit test/unit/**/*.spec.js;6;npm uninstall babel && npm install --save-dev babel-cli;
